conference,year,index,paper_id,given_name,family_name,org,institution,email,title
facct,2019,0,32875603287561,Ran,Canetti,bu,boston university and tel aviv university,,From Soft Classifiers to Hard Decisions
facct,2019,1,32875603287561,Aloni,Cohen,mit,mit,,From Soft Classifiers to Hard Decisions
facct,2019,2,32875603287561,Nishanth,Dikkala,mit,mit,,From Soft Classifiers to Hard Decisions
facct,2019,3,32875603287561,Govind,Ramnarayan,mit,mit,,From Soft Classifiers to Hard Decisions
facct,2019,4,32875603287561,Sarah,Scheffler,bu,boston university,,From Soft Classifiers to Hard Decisions
facct,2019,5,32875603287561,Adam,Smith,bu,boston university,,From Soft Classifiers to Hard Decisions
facct,2019,0,32875603287568,Jake,Goldenfein,cornell,cornell technew yorknew york and cornell techcornell university and swinburne university of technology,,The Profiling Potential of Computer Vision and the Challenge of Computational Empiricism
facct,2019,0,32875603287599,Hussein,Mouzannar,usc,american university of beirut,,From Fair Decision Making To Social Equality
facct,2019,1,32875603287599,Mesrob I.,Ohannessian,ttic,toyota technological institute at chicago,,From Fair Decision Making To Social Equality
facct,2019,2,32875603287599,Nathan,Srebro,ttic,toyota technological institute at chicago,,From Fair Decision Making To Social Equality
facct,2019,0,32875603287579,Nicole,Immorlica,microsoft,microsoft research,,Access to Population-Level Signaling as a Source of Inequality
facct,2019,1,32875603287579,Katrina,Ligett,huji,hebrew university of jerusalem,,Access to Population-Level Signaling as a Source of Inequality
facct,2019,2,32875603287579,Juba,Ziani,caltech,california institute of technology,,Access to Population-Level Signaling as a Source of Inequality
facct,2019,0,32875603287565,Shan,Jiang,northeastern,northeastern university,,Who's the Guinea Pig?
facct,2019,1,32875603287565,John,Martin,northeastern,northeastern university,,Who's the Guinea Pig?
facct,2019,2,32875603287565,Christo,Wilson,northeastern,northeastern university,,Who's the Guinea Pig?
facct,2019,0,32875603287591,Brenda,Leong,washington,future of privacy forumwashingtondcusa,,Robot Eyes Wide Shut
