conference,year,index,paper_id,given_name,family_name,org,institution,email,title
aies,2018,0,32787213278732,Cindy M.,Grimm,oregonstate,oregon state universitycorvallisorusa,,An Education Model of Reasonable and Good-Faith Effort for Autonomous Systems
aies,2018,1,32787213278732,William D.,Smart,oregonstate,oregon state universitycorvallisorusa,,An Education Model of Reasonable and Good-Faith Effort for Autonomous Systems
aies,2018,2,32787213278732,Woodrow,Hartzog,northeastern,northeastern universitybostonmausa,,An Education Model of Reasonable and Good-Faith Effort for Autonomous Systems
aies,2018,0,32787213278793,Joseph A.,Blass,northwestern,northwestern universitychicagoilusa,,"Legal, Ethical, Customizable Artificial Intelligence"
aies,2018,0,32787213278801,Colin,Garvey,rpi,rensselaer polytechnic institutetroynyusa,,AI Risk Mitigation Through Democratic Governance
aies,2018,0,32787213278786,Jin,Xu,gatech,georgia institute of technologyatlantagausa,,Overtrust of Robots in High-Risk Scenarios
aies,2018,0,32787213278722,Naman,Goel,polytechnique,ecole polytechnique federal de lausannelausanneswitzerland,,Non-Discriminatory Machine Learning through Convex Fairness Criteria
aies,2018,1,32787213278722,Mohammad,Yaghini,polytechnique,ecole polytechnique federal de lausannelausanneswitzerland,,Non-Discriminatory Machine Learning through Convex Fairness Criteria
aies,2018,2,32787213278722,Boi,Faltings,polytechnique,ecole polytechnique federal de lausannelausanneswitzerland,,Non-Discriminatory Machine Learning through Convex Fairness Criteria
aies,2018,0,32787213278730,Daniel,Estrada,itu,new jersey institute of technologynewarknjusa,,"Value Alignment, Fair Play, and the Rights of Service Robots"
aies,2018,0,32787213278748,Shiva,Kaul,cmu,carnegie mellon universitypittsburghpausa,,Margins and Opportunity
aies,2018,0,32787213278782,Kyle,Hundman,caltech,california institute of technologypasadenacausa,,Always Lurking
aies,2018,1,32787213278782,Thamme,Gowda,usc,university of southern californiamarina del reycausa,,Always Lurking
aies,2018,2,32787213278782,Mayank,Kejriwal,usc,university of southern californiamarina del reycausa,,Always Lurking
aies,2018,3,32787213278782,Benedikt,Boecking,cmu,carnegie mellon universitypittsburghpausa,,Always Lurking
aies,2018,0,32787213278764,Matthew,Joseph,upenn,university of pennsylvaniaphiladelphiapausa,,Meritocratic Fairness for Infinite and Contextual Bandits
aies,2018,1,32787213278764,Michael,Kearns,upenn,university of pennsylvaniaphiladelphiapausa,,Meritocratic Fairness for Infinite and Contextual Bandits
aies,2018,2,32787213278764,Jamie,Morgenstern,upenn,university of pennsylvaniaphiladelphiapausa,,Meritocratic Fairness for Infinite and Contextual Bandits
aies,2018,3,32787213278764,Seth,Neel,upenn,university of pennsylvaniaphiladelphiapausa,,Meritocratic Fairness for Infinite and Contextual Bandits
aies,2018,4,32787213278764,Aaron,Roth,upenn,university of pennsylvaniaphiladelphiapausa,,Meritocratic Fairness for Infinite and Contextual Bandits
aies,2018,0,32787213278743,Michael R.,Scheessele,indiana,indiana university south bendsouth bendinusa,,A Framework for Grounding the Moral Status of Intelligent Machines
aies,2018,0,32787213278754,Deepak,Somaya,illinois,university of illinois at urbanachampaignurbanailusa,,"Embodiment, Anthropomorphism, and Intellectual Property Rights for AI Creations"
aies,2018,1,32787213278754,Lav R.,Varshney,illinois,university of illinois at urbanachampaignurbanailusa,,"Embodiment, Anthropomorphism, and Intellectual Property Rights for AI Creations"
aies,2018,0,32787213278744,Biplav,Srivastava,ibm,ibm researchyorktown heightsnyusa,,Towards Composable Bias Rating of AI Services
aies,2018,1,32787213278744,Francesca,Rossi,ibm,ibm researchyorktown heightsnyusa,,Towards Composable Bias Rating of AI Services
aies,2018,0,32787213278759,Fan-Yun,Sun,ntu,national taiwan universitytaipeitaiwan roc,,Designing Non-greedy Reinforcement Learning Agents with Diminishing Reward Shaping
aies,2018,1,32787213278759,Yen-Yu,Chang,ntu,national taiwan universitytaipeitaiwan roc,,Designing Non-greedy Reinforcement Learning Agents with Diminishing Reward Shaping
aies,2018,2,32787213278759,Yueh-Hua,Wu,ntu,national taiwan universitytaipeitaiwan roc,,Designing Non-greedy Reinforcement Learning Agents with Diminishing Reward Shaping
aies,2018,3,32787213278759,Shou-De,Lin,ntu,national taiwan universitytaipeitaiwan roc,,Designing Non-greedy Reinforcement Learning Agents with Diminishing Reward Shaping
aies,2018,0,32787213278749,Nicholas,Mattei,ibm,ibm researchyorktown heightsnyusa,,Fairness in Deceased Organ Matching
aies,2018,1,32787213278749,Abdallah,Saffidine,unsw,unsw sydneysydneyaustralia,,Fairness in Deceased Organ Matching
aies,2018,2,32787213278749,Toby,Walsh,tu-berlin,unsw sydneydataamptu berlinsydneyaustralia,,Fairness in Deceased Organ Matching
aies,2018,0,32787213278794,Rediet,Abebe,cornell,cornell universityithacanyusa,,Computational Perspectives on Social Good and Access to Opportunity
aies,2018,0,32787213278790,Gong,Chen,,hong kong polytechnic universityhong konghong kong,,Nurturing the Companion ChatBot
aies,2018,0,32787213278797,Bobbie,Eicher,gatech,georgia institute of technologyatlantagausa,,Giving AI a Theory of Mind
aies,2018,0,32787213278789,Priel,Levy,biu,bar ilan universityramat ganisrael,,Optimal Contest Design for Multi-Agent Systems
aies,2018,0,32787213278792,Marc,Serramia,,universitat de barcelonabarcelonaspain,,Ethics in Norm Decision Making
aies,2018,0,32787213278741,Piercosma,Bisconti Lucidi,uniroma1,sapienza university of romeromeitaly,,Companion Robots
aies,2018,1,32787213278741,Daniele,Nardi,uniroma1,sapienza university of romeromeitaly,,Companion Robots
aies,2018,0,32787213278800,Cassandra,Carley,duke,duke universitydurhamncusa,,Balancing Privacy and Utility with Pattern Based Activity Detection
aies,2018,0,32787213278802,Sarah,Tan,cornell,cornell universityithacanyusa,,Interpretable Approaches to Detect Bias in Black-Box Models
aies,2018,0,32787213278783,Stefano,Tedeschi,,universitdegli studi di torinotorinoitaly,,Accountable Agents and Where to Find Them
aies,2018,0,32787213278805,Richard B.,Freeman,harvard,harvard universitycambridgemausa,,The Great AI/Robot Jobs Scare
aies,2018,1,32787213278805,Jason,Furman,harvard,harvard universitycambridgemausa,,The Great AI/Robot Jobs Scare
aies,2018,0,32787213278757,Hau,Chan,,university of nebraskalincolnlincolnneusa,,Utilizing Housing Resources for Homeless Youth Through the Lens of Multiple Multi-Dimensional Knapsacks
aies,2018,1,32787213278757,Long,Tran-Thanh,soton,university of southamptonsouthamptonunited kingdom,,Utilizing Housing Resources for Homeless Youth Through the Lens of Multiple Multi-Dimensional Knapsacks
aies,2018,2,32787213278757,Bryan,Wilder,usc,university of southern californialos angelescausa,,Utilizing Housing Resources for Homeless Youth Through the Lens of Multiple Multi-Dimensional Knapsacks
aies,2018,3,32787213278757,Eric,Rice,usc,university of southern californialos angelescausa,,Utilizing Housing Resources for Homeless Youth Through the Lens of Multiple Multi-Dimensional Knapsacks
aies,2018,4,32787213278757,Phebe,Vayanos,usc,university of southern californialos angelescausa,,Utilizing Housing Resources for Homeless Youth Through the Lens of Multiple Multi-Dimensional Knapsacks
aies,2018,5,32787213278757,Milind,Tambe,usc,university of southern californialos angelescausa,,Utilizing Housing Resources for Homeless Youth Through the Lens of Multiple Multi-Dimensional Knapsacks
aies,2018,0,32787213278738,Shivaram,Kalyanakrishnan,iitb,indian institute of technology bombaymumbaiindia,,Opportunities and Challenges for Artificial Intelligence in India
aies,2018,1,32787213278738,Rahul Alex,Panicker,,embrace innovationsbangaloreindia,,Opportunities and Challenges for Artificial Intelligence in India
